task,Название,Краткая формулировка,Тема,Уровень сложности
"Вычисли $ \displaystyle \int_{1}^{2}x \sqrt{x - 1} \, dx. $ Ответ представь в виде несокращаемой простой дроби",Вычисление определенного интеграла,"Вычислить определенный интеграл от функции $x \sqrt{x-1}$ на отрезке [1, 2].",Мат. анализ,легкий
"Найти матрицу, эрмитово сопряженную данной: $ \begin{pmatrix} i & 1 \\ -1 & i \end{pmatrix}$ \\Ответ в формате $ a_{11}; a_{12}; \dots; a_{1n}; a_{21}; a_{22}; \dots; a_{mn}.$",Эрмитово сопряженная матрица,Найти эрмитово сопряженную матрицу для заданной комплексной матрицы.,Линал и геометрия,легкий
"Вычисли $ \displaystyle \int_{0}^{\pi} \sin x \, dx.$ Ответ сократи (используя правила математического округления) до трех знаков после точки",Вычисление определенного интеграла синуса,Вычислить определенный интеграл функции синус от 0 до пи.,Мат. анализ,легкий
Найти $ \displaystyle \lim_{x \rightarrow \infty} (1+14x)/(2x+\sqrt[3]{x^2}).$Ответ сократи (используя правила математического округления) до трех знаков после точки,Предел отношения функций,"Найти предел отношения двух функций при x, стремящемся к бесконечности.",Мат. анализ,легкий
"В урне имеется 3 белых и 4 черных шара. Из урны вытягиваются 3 шара. Найти вероятность, что хотя бы один из них окажется белым. Ответ представь в виде несокращаемой простой дроби",Вероятность вытягивания белого шара,"Найти вероятность, что хотя бы один из 3 вытянутых шаров будет белым, если в урне 3 белых и 4 черных шара.",Теор. вер. и статистика,легкий
Найти $ \displaystyle \lim_{x \rightarrow 1} (x^2-4)/(x^2-x-2).$ Ответ представь в виде несокращаемой простой дроби,Вычисление предела рациональной функции,"Найти предел рациональной функции при x, стремящемся к 1.",Мат. анализ,легкий
Найти $ \displaystyle \lim_{x \rightarrow 1} (x^4-x^3+x^2-3x+2)/(x^3-x^2-x+1).$Ответ сократи (используя правила математического округления) до трех знаков после точки,Вычисление предела рациональной функции,"Найти предел рациональной функции при x, стремящемся к 1.",Мат. анализ,легкий
"Найти расстояние от точки $ A(1, -2) $ до прямой, заданной уравнением $ x=7.$",Расстояние от точки до прямой,Найти расстояние от точки до вертикальной прямой,Линал и геометрия,легкий
"Числа 1, 2, 3, 4, 5 написаны на пяти карточках. Наугад последовательно выбираются три карточки, и вытянутые таким образом цифры ставятся слева направо. Найти вероятность того, что полученное при этом трехзначное число будет четным. Ответ сократи (используя правила математического округления) до трех знаков после точки",Вероятность четного трехзначного числа из карточек,"Найти вероятность того, что трехзначное число, составленное из трех случайно выбранных карточек с цифрами от 1 до 5, будет четным.",Теор. вер. и статистика,легкий
"Десять студентов условились ехать определенным электропоездом, но не договорились о вагоне. Какова вероятность того, что ни один из них не встретится с другим, если в составе электропоезда 10 вагонов. Предполагается, что все возможные распределения студентов по вагонам равновероятны. Ответ сократи (используя правила математического округления) до пяти знаков после точки",Распределение студентов по вагонам,"Вероятность того, что 10 студентов, едущих в 10 вагонах, не встретятся друг с другом.",Теор. вер. и статистика,средний
Найти $ \displaystyle \lim_{n \rightarrow \infty} \sqrt[n]{n^3-3n+1}.$Ответ сократи (используя правила математического округления) до трех знаков после точки,Предел корня n-ой степени,Найти предел $\sqrt[n]{n^3-3n+1}$ при $n \rightarrow \infty$.,Мат. анализ,легкий
Найти $ \displaystyle \lim_{n \rightarrow \infty} (1+1/n)^{\sqrt{n}}.$Ответ сократи (используя правила математического округления) до трех знаков после точки,Предел последовательности (1+1/n)^sqrt(n),Найти предел последовательности при n стремящемся к бесконечности,Мат. анализ,средний
"Два датчика посылают сигнал в общий канал связи, причем первый из них посылает вдвое больше сигналов, чем второй. Вероятность получить искаженный сигнал от первого датчика равна 0,06, от второго – 0,03. Какова вероятность получить неискаженный сигнал в общем канале связи? Ответ сократи (используя правила математического округления) до двух знаков после точки",Вероятность неискаженного сигнала,Найти вероятность получения неискаженного сигнала от двух датчиков с разными интенсивностями и вероятностями искажения.,Теор. вер. и статистика,средний
"На семиместную скамейку случайным образом рассаживается 7 чело- век. Какова вероятность того, что два определенных человека окажутся рядом? Ответ представь в виде несокращаемой простой дроби",Вероятность двух человек оказаться рядом,"Найти вероятность того, что два определенных человека окажутся рядом на семиместной скамейке.",Теор. вер. и статистика,легкий
"Найти площадь фигуры, ограниченной кривыми, заданными в прямоугольных координатах (все параметры считать положительными): $ y = x^2,~ x+y=2.$ Ответ представь в виде несокращаемой простой дроби","Площадь, ограниченная параболой и прямой","Найти площадь фигуры, ограниченной кривыми y = x^2 и x+y=2.",Мат. анализ,средний
Найти $ \displaystyle \lim_{x \rightarrow 7} (2x^2-11x-21)/(x^2-9x+14).$ Ответ представь в виде несокращаемой простой дроби,Вычисление предела рациональной функции,"Найти предел рациональной функции при x, стремящемся к 7.",Мат. анализ,легкий
"Новому работнику предоставляются три попытки проявить свои способности. Вероятность того, что ему удастся это с первой попытки, равна 0,2, со второй – 0,3, с третьей – 0,4. Исходы попыток представляют независимые события. Найти вероятность того, что работник оправдает оказанное ему доверие. Ответ сократи (используя правила математического округления) до трех знаков после точки",Вероятность успеха работника,"Найти вероятность того, что работник проявит себя хотя бы с одной из трех попыток, зная вероятности успеха для каждой попытки.",Теор. вер. и статистика,легкий
Найти $ \displaystyle \lim_{x \rightarrow 0} \operatorname{tg}4x/\sin x.$Ответ сократи (используя правила математического округления) до трех знаков после точки,Предел отношения тангенса и синуса,Найти предел отношения tg(4x) к sin(x) при x стремящемся к 0.,Мат. анализ,легкий
"Найти скалярное произведение векторов \textbf{a} и \textbf{b}, если: $ |\textbf{a}| =3,~ |\textbf{b}| = 1, \angle(\textbf{a},\textbf{b}) = 45^{\circ}.$ Ответ сократи (используя правила математического округления) до трех знаков после точки",Скалярное произведение векторов,"Найти скалярное произведение двух векторов, зная их длины и угол между ними.",Линал и геометрия,легкий
"В урне имеется 20 белых шаров и 5 черных. Наудачу последователь- но, без возвращения извлекают по одному шару до появления белого. Найти вероятность, что придется производить третье извлечение. Ответ сократи (используя правила математического округления) до двух знаков после точки",Вероятность третьего извлечения до появления белого шара,"Найти вероятность, что первый белый шар появится при третьем извлечении из урны без возвращения.",Теор. вер. и статистика,средний
Найти $ \displaystyle \lim_{x \rightarrow \infty} (x+1)^2(3-7x)^2/(2x-1)^4.$ Ответ представь в виде несокращаемой простой дроби,Предел рациональной функции,Найти предел рациональной функции при x стремящемся к бесконечности.,Мат. анализ,легкий
"Найти объем параллелепипеда, построенного на заданных векторах. Координатные столбцы векторов в ортонормированном базисе составляют матрицу: $ \begin{pmatrix} 1 & 1 & 1 \\ 1 & 1 & 1 \\ -1 & 1 & 1\\ 0 & -1 & 1 \end{pmatrix}.$ Ответ сократи (используя правила математического округления) до трех знаков после точки","Объем параллелепипеда, заданного матрицей","Найти объем параллелепипеда, построенного на векторах, заданных матрицей.",Линал и геометрия,средний
Найти $ \displaystyle \lim_{n \rightarrow \infty} (n+1)/(\sqrt{n^2+2n}).$Ответ сократи (используя правила математического округления) до трех знаков после точки,Предел отношения многочленов,Найти предел отношения двух функций при n стремящемся к бесконечности.,Мат. анализ,легкий
"Длины базисных векторов $ \textbf{e}_1, ~ \textbf{e}_2, ~ \textbf{e}_3 $ в пространстве равны соответственно 1,1, $\sqrt{2}$, а углы между ними равны $ \angle(\textbf{e}_1, \textbf{e}_2) = 120^{\circ},~ \angle(\textbf{e}_1, \textbf{e}_3) = 45^{\circ},~\angle(\textbf{e}_2, \textbf{e}_3) = 135^{\circ}. $ Вычислить объем параллелепипеда, построенного на векторах, имеющих в этом базисе координаты $(-1,0,2),~ (1,1,3),~(2,-1,1).$ Ответ сократи (используя правила математического округления) до трех знаков после точки",Объем параллелепипеда в неортогональном базисе,"Вычислить объем параллелепипеда, построенного на векторах, заданных в неортогональном базисе, зная длины базисных векторов и углы между ними.",Линал и геометрия,сложный
Найти $ \displaystyle \lim_{x \rightarrow 0} (\operatorname{tg}x - x)/(\sin x-x).$ Ответ сократи (используя правила математического округления) до трех знаков после точки,Предел отношения тангенса и синуса,"Найти предел отношения (tg x - x) / (sin x - x) при x, стремящемся к 0.",Мат. анализ,средний
В арифметическом пространстве со стандартным скалярным произведением найти скалярное произведение $ \begin{pmatrix} 1 & 1 & 1&1 \end{pmatrix}^{T} $ и $ \begin{pmatrix} 1 & 2 & 5 & 8 \end{pmatrix}^{T}.$,Скалярное произведение векторов,Найти скалярное произведение двух векторов в арифметическом пространстве.,Линал и геометрия,легкий
"Каждый из трех котов спит в одной из трех коробок. Найти вероятность того, что все коты будут спать в одной коробке, если они выбирают каждую коробку равновероятно и независимо друг от друга. Ответ сократи (используя правила математического округления) до трех знаков после точки",Коты и коробки,"Вероятность того, что три кота спят в одной коробке из трех",Теор. вер. и статистика,легкий
"На шахматную доску наугад ставятся два короля – черный и белый, в разные клетки. Какова вероятность, что при этом получится допустимая позиция? Недопустимой считается позиция, когда короли стоят в соседних (в том числе и по диагонали) клетках. Ответ представь в виде несокращаемой простой дроби",Вероятность допустимой расстановки королей,Найти вероятность допустимой расстановки двух королей на шахматной доске.,Теор. вер. и статистика,средний
"Вероятности правильного определения химического состава продукта для каждого из 3 контролеров равны 4/5, 3/4, 2/3. При одновременном контроле 3 проб тремя контролерами химический состав оказался правильно определенным для 2 проб (что подтвердилось на окончательной проверке в лаборатории). Найти вероятность того, что ошибся третий контролер. Ответ сократи (используя правила математического округления) до двух знаков после точки",Вероятность ошибки третьего контролера,"Найти вероятность того, что ошибся третий контролер, если из 3 проб 2 определены правильно.",Теор. вер. и статистика,средний
Найти $ \displaystyle \lim_{x \rightarrow +\infty} x^{7/4}(\sqrt[4]{x+1}+\sqrt[4]{x-1}-2\sqrt[4]{x}).$ Ответ представь в виде несокращаемой простой дроби,Предел с корнями,Найти предел функции при x стремящемся к бесконечности с использованием корней.,Мат. анализ,средний
"Рассмотрим область $A$, ограниченную на отрезке $x \in [0; 1]$ кривыми \begin{align*} y = \sqrt{x}, \ \ y = x. \end{align*} Найди объем тела, полученного вращением области $A$ вокруг оси $OX$. Ответ сократи (используя правила математического округления) до трех знаков после точки",Объем тела вращения между двумя кривыми,"Найти объем тела, полученного вращением области, ограниченной y = √x и y = x, вокруг оси OX.",Мат. анализ,средний
Найти $ \displaystyle \lim_{x \rightarrow 2} (8-2x^2)/(x^2+4x-12).$Ответ сократи (используя правила математического округления) до трех знаков после точки,Вычисление предела функции,"Вычислить предел рациональной функции при x, стремящемся к 2.",Мат. анализ,легкий
Найти $ \displaystyle \lim_{x \rightarrow 0} (\ln(1+\sin(2x))/\sin(3x).$. Ответ представь в виде несокращаемой простой дроби,Предел отношения логарифма и синуса,Найти предел отношения $\ln(1+\sin(2x))$ к $\sin(3x)$ при $x \rightarrow 0$.,Мат. анализ,легкий
Найти расстояние между параллельными плоскостями $ 3x+ 4z +1=0 $ и $ 6x+8z - 1=0.$ Ответ представь в виде несокращаемой простой дроби,Расстояние между параллельными плоскостями,Найти расстояние между параллельными плоскостями $ 3x+ 4z +1=0 $ и $ 6x+8z - 1=0.$,Линал и геометрия,легкий
"Найти объем тела, ограниченного поверхностями, полученными при вращении отрезков следующих линий: $ y =e^{-x},~y=0~ (0\leq x < +\infty) $ вокруг оси $ Ox.$ Ответ сократи (используя правила математического округления) до трех знаков после точки",Объем тела вращения экспоненциальной функции,"Найти объем тела, образованного вращением функции y = e^(-x) вокруг оси Ox на интервале [0, +бесконечность).",Мат. анализ,средний
"Найти площадь фигуры, ограниченной кривыми, заданными в прямоугольных координатах (все параметры считать положительными): $ y = 2^x,~ y=2~, x=0.$ Ответ сократи (используя правила математического округления) до трех знаков после точки","Площадь фигуры, ограниченной экспонентой, прямой и осью Y","Найти площадь фигуры, ограниченной кривыми $ y = 2^x,~ y=2~, x=0.$",Мат. анализ,легкий
"Радиосообщение может быть передано днем (с вероятностью 3/4 ),либо ночью (с вероятностью 1/ 4 ). Из-за помех вероятность его успешного приема составляет днем 60$\%$, а ночью 80$\%$. Найти вероятность, что сообщение будет принято. Ответ сократи (используя правила математического округления) до двух знаков после точки",Вероятность приема радиосообщения,"Найти вероятность успешного приема радиосообщения, учитывая время передачи и вероятность помех.",Теор. вер. и статистика,легкий
"Три гимнаста стоят друг на друге. Вероятность падения нижнего составляет 0,08, второго – 0,5, третьего – 0,31. Найти вероятность того, что трюк не удастся. Ответ сократи (используя правила математического округления) до четырех знаков после точки",Вероятность падения гимнастов,"Три гимнаста стоят друг на друге. Вероятности падения нижнего, второго и третьего известны. Найти вероятность того, что трюк не удастся.",Теор. вер. и статистика,легкий
"Найти объем тела, ограниченного поверхностями, полученными при вращении отрезков следующих линий: $ y =\sin x,~y=0~ (0\leq x \leq \pi) $ вокруг оси $ Ox.$ Ответ сократи (используя правила математического округления) до трех знаков после точки",Объем тела вращения синусоиды,"Найти объем тела, образованного вращением графика функции y = sin(x) на отрезке [0, π] вокруг оси Ox.",Мат. анализ,легкий
Найти $ \displaystyle \lim_{x \rightarrow 0} (\sqrt{1+x+x^2}-1)/(3x).$ Ответ представь в виде несокращаемой простой дроби,Предел функции с корнем,Найти предел функции при x стремящемся к 0.,Мат. анализ,легкий
Найти $ \displaystyle \lim_{x \rightarrow 1} (x^3-1)/\ln x.$Ответ сократи (используя правила математического округления) до трех знаков после точки,Вычисление предела функции,Найти предел функции при x стремящемся к 1,Мат. анализ,легкий
"Вычисли $ \displaystyle \int_{-3}^{1} 2x^2+3x-1 \, dx.$ Ответ представь в виде несокращаемой простой дроби",Вычисление определённого интеграла,Вычислить определённый интеграл от многочлена.,Мат. анализ,легкий
"В двух коробках находятся однотипные диоды. В первой – 20 шт., из них 2 неисправных; во второй – 10 шт., из них 4 неисправных. Наугад была выбрана коробка, а затем из нее наугад был выбран диод. Он оказался неисправным. Найти вероятность того, что он был взят из второй коробки. Ответ сократи (используя правила математического округления) до одного знака после точки",Вероятность выбора неисправного диода из второй коробки,"Найти вероятность того, что неисправный диод был взят из второй коробки, если он оказался неисправным.",Теор. вер. и статистика,средний
Вычислить собственные значения матрицы $ \begin{pmatrix} 1 & 0 & 3 \\ 2 & 1 & 2\\ 3 & 0 & 1 \end{pmatrix}.$,Собственные значения матрицы 3x3,Найти собственные значения матрицы.,Линал и геометрия,средний
Найти $ \displaystyle \lim_{n \rightarrow \infty} (\sqrt[3]{n^2+n})/(n+2)$Ответ сократи (используя правила математического округления) до трех знаков после точки,Предел отношения корня и многочлена,Найти предел отношения кубического корня из многочлена второй степени к многочлену первой степени при n стремящемся к бесконечности.,Мат. анализ,легкий
"Вычисли $ \displaystyle \int_{0}^{1} x^{2}(1 + 2x^{3})^{5} \, dx.$ Ответ представь в виде несокращаемой простой дроби",Вычисление определённого интеграла,Вычислить определённый интеграл с заменой переменной.,Мат. анализ,легкий
"На базе находятся лампы, изготовленные на двух заводах. Из них 70$\%$ изготовлено на первом заводе, а 30$\%$ – на втором. Известно, что 90$\%$ ламп, изготовленных на первом заводе, соответствуют стандарту, а среди ламп, изготовленных на втором заводе, соответствуют стандарту лишь 80$\%$. Найти вероятность, что взятая наугад лампа с базы будет соответствовать стандарту. Ответ сократи (используя правила математического округления) до двух знаков после точки",Вероятность соответствия стандарту,"Найти вероятность, что случайно выбранная лампа соответствует стандарту, зная доли производства на двух заводах и процент соответствия стандарту на каждом заводе.",Теор. вер. и статистика,легкий
В арифметическом пространстве со стандартным скалярным произведением найти скалярное произведение $ \begin{pmatrix} 1 & 2 & 1&4 \end{pmatrix}^{T} $ и $ \begin{pmatrix} 1 & -1 & 1 & 0 \end{pmatrix}^{T}.$,Скалярное произведение векторов,Найти скалярное произведение двух векторов в арифметическом пространстве.,Линал и геометрия,легкий
"Для сигнализации об аварии установлены два независимо работающих сигнализатора. Вероятность того, что при аварии сигнализатор сработает, равна 0,95 для первого сигнализатора и 0,9 для второго. Найти вероятность то- го, что при аварии сработает только один сигнализатор. Ответ сократи (используя правила математического округления) до двух знаков после точки",Вероятность срабатывания одного сигнализатора,"Найти вероятность того, что при аварии сработает только один из двух независимых сигнализаторов.",Теор. вер. и статистика,легкий
"Для каждого из трех друзей вероятности провала экзамена равны соответственно 0,01; 0,03; 0,1. Найти вероятность того, что только двое из них сдадут экзамен. Ответ сократи (используя правила математического округления) до трех знаков после точки",Вероятность сдачи экзамена двумя из трех друзей,"Даны вероятности провала экзамена для трех друзей. Найти вероятность того, что только двое из них сдадут экзамен.",Теор. вер. и статистика,легкий
"Вычисли $ \displaystyle \int_{0}^{1} x(5-x) \, dx.$ Ответ представь в виде несокращаемой простой дроби",Вычисление определённого интеграла,Вычислить определённый интеграл от многочлена.,Мат. анализ,легкий
Найти $ \displaystyle \lim_{x \rightarrow 0} ((1+x)^x-1)/x^2.$ Ответ сократи (используя правила математического округления) до трех знаков после точки,Предел с неопределенностью,Найти предел функции при x стремящемся к 0,Мат. анализ,средний
"Найти расстояние от точки $ A(1, -2) $ до прямой, заданной уравнением $ 2x-3y+5=0.$ Ответ сократи (используя правила математического округления) до трех знаков после точки",Расстояние от точки до прямой,Найти расстояние от точки до прямой.,Линал и геометрия,легкий
Найти $ \displaystyle \lim_{x \rightarrow 0} (\ln(1+x)-x)/x^2.$ Ответ представь в виде несокращаемой простой дроби,Предел с логарифмом,Найти предел функции при x стремящемся к 0.,Мат. анализ,средний
"Среднее время работы каждого из 3 независимых элементов, входящих в техническое устройство равно 750ч. Для безотказной работы устройства необходима безотказная работа хотя бы одного из трех этих элементов. Определить вероятность того, что устройство будет работать от 450 до 600ч, если время работы каждого из трех элементов независимо и распределено по показа- тельному закону. Ответ сократи (используя правила математического округления) до трех знаков после точки",Вероятность работы устройства с резервированием,"Найти вероятность работы устройства с тремя резервированными элементами в заданном интервале времени, если время работы каждого элемента распределено по показательному закону.",Теор. вер. и статистика,средний
"Вычисли $ \displaystyle \int_{1}^{5} 7/x \, dx.$ Ответ сократи (используя правила математического округления) до трех знаков после точки",Вычисление определенного интеграла,Вычислить определенный интеграл функции 7/x от 1 до 5.,Мат. анализ,легкий
Найти $ \displaystyle \lim_{x \rightarrow 0} (\sqrt{1+2\operatorname{tg}x} -e^x +x^2)/(\operatorname{arcsin}x -\sin x).$Ответ сократи (используя правила математического округления) до трех знаков после точки,Предел с тригонометрическими и экспоненциальными функциями,"Найти предел отношения функций при x, стремящемся к 0.",Мат. анализ,сложный
"Найти объем тела, ограниченного поверхностями, полученными при вращении отрезков следующих линий: $ y =2x-x^2,~y=0 $ вокруг оси $ Oy.$ Ответ сократи (используя правила математического округления) до трех знаков после точки",Объем тела вращения вокруг оси Oy,"Найти объем тела, образованного вращением области, ограниченной параболой и осью Ox, вокруг оси Oy.",Мат. анализ,средний
Найти $ \displaystyle \lim_{n \rightarrow \infty} \sqrt[n]{(2n^3+1)/(3n^3-2)}.$Ответ сократи (используя правила математического округления) до трех знаков после точки,Предел корня n-й степени,Найти предел последовательности $\sqrt[n]{(2n^3+1)/(3n^3-2)}$ при $n \rightarrow \infty$.,Мат. анализ,легкий
"Вычисли $ \displaystyle \int_{0}^{2} (x - 1)^{25} \, dx.$ Ответ сократи (используя правила математического округления) до трех знаков после точки",Вычисление определенного интеграла,Вычислить определенный интеграл от степенной функции.,Мат. анализ,легкий
"В партии лампочек в среднем 4 брака. Найти вероятность, что среди наугад выбранных двух лампочек окажется хотя бы одна неисправная. Ответ сократи (используя правила математического округления) до четырех знаков после точки",Вероятность брака лампочек,"Найти вероятность, что среди двух выбранных лампочек хотя бы одна бракованная, если в среднем 4 брака.",Теор. вер. и статистика,средний
Бросаются две монеты. Случайная величина $ Х $ – число выпавших гербов. Найти математическое ожидание $ M[X].$ Ответ сократи (используя правила математического округления) до трех знаков после точки,Математическое ожидание числа гербов при бросании двух монет,Найти математическое ожидание числа выпавших гербов при бросании двух монет.,Теор. вер. и статистика,легкий
Вычислить собственные значения матрицы $ \begin{pmatrix} -4 & 0 \\ 1 & 4 \end{pmatrix}.$,Собственные значения матрицы 2x2,Вычислить собственные значения матрицы.,Линал и геометрия,легкий
Найти $ \displaystyle \lim_{x \rightarrow 1} (x^2+4x-5)/(x^2-1).$Ответ сократи (используя правила математического округления) до трех знаков после точки,Вычисление предела функции,Найти предел функции при x стремящемся к 1.,Мат. анализ,легкий
"Два друга договорились о встрече между 16 и 17 часами дня. При- шедший первым ждет второго в течение 20 мин, а после уходит. Определить вероятность, что друзья встретятся. Ответ сократи (используя правила математического округления) до двух знаков после точки",Вероятность встречи двух друзей,"Два друга договорились о встрече между 16 и 17 часами. Пришедший первым ждет второго 20 минут. Какова вероятность, что они встретятся?",Теор. вер. и статистика,средний
"Устройство состоит из 1000 элементов, работающих независимо один от другого. Вероятность отказа любого элемента в течение времени T равна 0,002. Найти вероятность того, что за время T откажут ровно 3 элемента. Ответ сократи (используя правила математического округления) до двух знаков после точки",Вероятность отказа элементов,"Найти вероятность отказа ровно 3 из 1000 элементов, если вероятность отказа каждого элемента 0,002.",Теор. вер. и статистика,легкий
Решить уравнение в комплексной плоскости: $ z^2 + 2|z| = 1. Ответ сократи (используя правила математического округления) до трех знаков после точки$,Решение квадратного уравнения с модулем в комплексной плоскости,Решить уравнение $ z^2 + 2|z| = 1 $ в комплексной плоскости.,Мат. анализ,средний
Найти $ \displaystyle \lim_{x \rightarrow 0} (\operatorname{tg}x-\sin x)/x^3.$ Ответ представь в виде несокращаемой простой дроби,Предел отношения тангенса и синуса к кубу икс,Найти предел функции при x стремящемся к нулю: (tg(x) - sin(x)) / x^3.,Мат. анализ,средний
"Четыре шарика разбрасывают по 4 лункам. Шарик попадает в ту или иную лунку с одинаковой вероятностью, независимо друг от друга. Определить вероятность, что в каждой лунке окажется по одному шарику. Ответ представь в виде несокращаемой простой дроби",Вероятность равномерного распределения шариков по лункам,"Найти вероятность того, что при случайном распределении 4 шариков по 4 лункам, в каждой лунке окажется по одному шарику.",Теор. вер. и статистика,средний
Вычислить собственные значения матрицы $ \begin{pmatrix} 25 & 60 \\ 60 & 144 \end{pmatrix}.$,Собственные значения матрицы 2x2,Найти собственные значения матрицы $ \begin{pmatrix} 25 & 60 \\ 60 & 144 \end{pmatrix}.$,Линал и геометрия,легкий
"В прямоугольник 5×4 $\text{см}^2$ вписан круг радиусом 1,5 см. Какова вероятность того, что точка, случайным образом поставленная в прямоугольник, окажется внутри круга? Ответ сократи (используя правила математического округления) до трех знаков после точки","Вероятность попадания точки в круг, вписанный в прямоугольник","Найти вероятность попадания случайной точки в круг, вписанный в прямоугольник.",Теор. вер. и статистика,легкий
"Найти векторное произведение векторов $ \textbf{a} $ и $ \textbf{b}$, заданных своими координатами: $ \textbf{a}(2,-1,1),~ \textbf{b}(-4,2,-2).$",Векторное произведение,Найти векторное произведение двух векторов по их координатам.,Линал и геометрия,легкий
"Найти расстояние между точками $ A $ и $ B$, заданными своими координатами: $ A(-1,2),~ B(5,10).$ Ответ сократи (используя правила математического округления) до трех знаков после точки",Расстояние между двумя точками,"Найти расстояние между точками A(-1,2) и B(5,10).",Линал и геометрия,легкий
"Вычислить $ f(A), $ если $ f(t)=t^2-2t+1,~ A = \begin{pmatrix} 1 & 1 \\ 1 & 1 \end{pmatrix}.$ \\Ответ в формате $ a_{11}; a_{12}; \dots; a_{1n}; a_{21}; a_{22}; \dots; a_{mn}.$",Вычисление функции от матрицы,Вычислить f(A) для заданной функции f(t) и матрицы A.,Линал и геометрия,легкий
"Найти объем тела, ограниченного поверхностями, полученными при вращении отрезков следующих линий: $ y =2x-x^2,~y=0 $ вокруг оси $ Ox.$ Ответ сократи (используя правила математического округления) до трех знаков после точки",Объем тела вращения параболы,"Найти объем тела, образованного вращением области, ограниченной параболой y = 2x - x^2 и осью Ox вокруг оси Ox.",Мат. анализ,средний
